"RNumber","KName","Grade","Phone_Num","Homepage","Price"
"47","목천집 (앵콜칼국수)",4,"02-525-8418","","점심 단품 6,000 ~ 40,000 (원)"
"48","무궁화",5,"02-317-7061","www.lottehotel.com/seoul","점심 세트 66,000 ~ 120,000 (원)저녁 세트 97,000 ~ 170,000 (원)"
"49","미나미",4,"02-522-0373","","점심 단품 11,000 ~ 35,000 (원)저녁 단품 11,000 ~ 35,000 (원)"
"50","미미면가",5,"070-4211-5466","mimimyunga.modoo.at/","점심 단품 8,000 ~ 43,000 (원)저녁 단품 8,000 ~ 43,000 (원)"
"51","미쉬 매쉬",4,"02-6465-2211","www.mishmashkorea.com","점심 단품 25,000 ~ 41,000 (원)저녁 단품 25,000 ~ 57,000 (원)점심 세트 35,000 ~ 47,000 (원)저녁 세트 35,000 ~ 65,000 (원)"
"52","미진",4,"02-732-1954","mijin1954.modoo.at/","점심 단품 8,000 ~ 15,000 (원)"
"53","미코",5,"02-3446-1227","","점심 단품 9,000 ~ 18,000 (원)저녁 세트 85,000 ~ 200,000 (원)"
"54","민스 키친",5,"02-544-1007","www.minskitchen.kr","점심 단품 6,500 ~ 75,000 (원)저녁 단품 6,500 ~ 75,000 (원)점심 세트 28,000 ~ 55,000 (원)저녁 세트 98,000 ~ 110,000 (원)"
"55","밀본",4,"02-499-9801","mealbon.modoo.at/","점심 단품 7,000 ~ 15,000 (원)"
"56","밍글스",4,"02-515-7306","www.restaurant-mingles.com","점심 세트 58,000 ~ 85,000 (원)저녁 세트 138,000 (원)"
"57","발우공양",4,"02-733-2081","www.balwoo.or.kr","점심 세트 30,000 ~ 95,000 (원)저녁 세트 45,000 ~ 95,000 (원)"
"58","백년 토종 삼계탕",5,"02-747-5535","100samgyetang.modoo.at","점심 단품 15,000 ~ 45,000 (원)"
"59","백년옥",4,"02-523-2860","baengnyeonok.modoo.at","점심 단품 6,000 ~ 40,000 (원)"
"60","백리향",5,"02-789-5741","www.63restaurant.co.kr","점심 단품 70,000 ~ 246,000 (원)저녁 단품 70,000 ~ 246,000 (원)점심 세트 110,000 ~ 220,000 (원)저녁 세트 85,000 ~ 360,000 (원)"
"61","뱀부 하우스",5,"02-566-0870","bamboohouse95.modoo.at","저녁 단품 60,000 ~ 130,000 (원)점심 세트 30,000 ~ 66,000 (원)저녁 세트 120,000 ~ 240,000 (원)"
"62","버드나무 집",5,"02-3473-4167","budnamujip.modoo.at","점심 단품 12,000 ~ 69,000 (원)저녁 단품 12,000 ~ 69,000 (원)점심 세트 29,000 (원)저녁 세트 29,000 (원)"
"63","벽제갈비",5,"02-415-5522","www.bjgalbi.com","점심 단품 12,000 ~ 110,000 (원)저녁 단품 35,000 ~ 110,000 (원)점심 세트 43,000 ~ 45,000 (원)"
"64","보나세라",5,"02-543-6668","www.buonasera.co.kr","점심 단품 70,000 ~ 110,000 (원)저녁 단품 70,000 ~ 110,000 (원)점심 세트 38,000 ~ 68,000 (원)저녁 세트 73,000 ~ 133,000 (원)"
"65","보름쇠",5,"02-569-9967","boreumsoei.modoo.at","점심 단품 8,000 ~ 70,000 (원)저녁 단품 39,000 ~ 70,000 (원)점심 세트 15,000 ~ 28,000 (원)"
"66","보칼리노",5,"02-6388-5500","www.fourseasons.com/seoul","점심 단품 65,000 ~ 230,000 (원)저녁 단품 65,000 ~ 230,000 (원)점심 세트 75,000 (원)저녁 세트 80,000 ~ 140,000 (원)"
"67","보트르 메종",4,"02-549-3800","votremasion.modoo.at","점심 세트 50,000 (원)저녁 세트 120,000 (원)"
"68","볼트 스테이크하우스",5,"02-544-9235","vaultsteakhouse.co.kr","점심 단품 25,000 ~ 110,000 (원)저녁 단품 90,000 ~ 124,000 (원)"
"69","볼피노",5,"010-2249-1571","","점심 단품 54,000 ~ 96,000 (원)저녁 단품 54,000 ~ 96,000 (원)"
"70","봉밀가",5,"02-546-2305","","점심 단품 9,000 ~ 35,000 (원)저녁 단품 9,000 ~ 35,000 (원)"
"71","봉피양",4,"02-415-5527","www.bjgalbi.com","점심 단품 12,000 ~ 60,000 (원)"
"72","부띠끄 블루밍",5,"02-518-1972","www.dinehill.co.kr","점심 세트 44,000 ~ 60,000 (원)저녁 세트 100,000 ~ 130,000 (원)"
"73","부촌육회",4,"02-2267-1831","bcyukhoe.modoo.at","점심 단품 12,000 ~ 25,000 (원)"
"74","북막골",4,"02-730-0980","www.7300980.com","점심 단품 5,000 ~ 63,000 (원)"
"75","브레라",5,"02-2236-0770","www.brera.kr","점심 단품 32,000 ~ 47,000 (원)"
"76","비스트로 드 욘트빌",5,"02-541-1550","","점심 단품 70,000 ~ 130,000 (원)저녁 단품 70,000 ~ 130,000 (원)점심 세트 35,000 ~ 42,000 (원)저녁 세트 75,000 ~ 100,000 (원)"
"77","비채나",4,"02-3213-1260~1","www.bicena.com","점심 세트 70,000 (원)저녁 세트 150,000 ~ 190,000 (원)"
"78","삼원가든",5,"02-548-3030","www.samwongarden.com","점심 단품 13,000 ~ 143,000 (원)"
"79","삼청동 수제비",4,"02-735-2965","samcheongsujeb.modoo.at","점심 단품 8,000 ~ 16,000 (원)"
"80","서울 다이닝",5,"02-6325-6321","www.seoul-dining.com","점심 세트 29,000 ~ 49,000 (원)저녁 세트 88,000 (원)"
"81","서촌김씨",5,"02-730-7787","seochon2016.modoo.at","점심 세트 59,000 ~ 69,000 (원)저녁 세트 70,000 ~ 90,000 (원)"
"82","석파랑",5,"02-395-2500","www.seokparang.co.kr","점심 세트 55,000 ~ 110,000 (원)저녁 세트 95,000 ~ 155,000 (원)"
"83","수아에피스",5,"02-548-2191","","점심 단품 9,000 ~ 15,000 (원)저녁 단품 13,000 ~ 30,000 (원)"
"84","스바루",4,"02-596-4882","thesubaru.modoo.at","점심 단품 13,000 ~ 19,000 (원)저녁 단품 13,000 ~ 19,000 (원)"
"85","스시  선수",5,"02-514-0812","sushisunsoo.modoo.at","점심 세트 60,000 ~ 110,000 (원)저녁 세트 130,000 ~ 210,000 (원)"
"86","스시 무라카미",5,"02-794-7888","www.sushimurakami.com","점심 세트 150,000 ~ 180,000 (원)저녁 세트 250,000 ~ 350,000 (원)"
"87","스시 초희",5,"02-545-8422","sushichohi.modoo.at","점심 세트 45,000 ~ 110,000 (원)저녁 세트 110,000 ~ 200,000 (원)"
"88","스시만",5,"02-533-0181","sushiman.modoo.at","점심 세트 50,000 ~ 80,000 (원)저녁 세트 150,000 ~ 180,000 (원)"
"89","스시조",5,"02-317-0373","www.echosunhotel.com","점심 단품 80,000 ~ 350,000 (원)저녁 단품 95,000 ~ 350,000 (원)점심 세트 109,000 ~ 225,000 (원)저녁 세트 150,000 ~ 285,000 (원)"
"90","스시효",5,"02-545-0023","sushihyo.modoo.at","점심 세트 65,000 ~ 110,000 (원)저녁 세트 130,000 ~ 200,000 (원)"
"91","스와니예",4,"02-3477-9386","www.soignerestaurantgroup.com","점심 세트 65,000 (원)저녁 세트 135,000 (원)"
"92","스테이",5,"02-3213-1231","www.lottehotel.com/signielseoul/ko/","점심 단품 20,000 ~ 250,000 (원)저녁 단품 20,000 ~ 250,000 (원)점심 세트 58,000 ~ 105,000 (원)저녁 세트 128,000 ~ 200,000 (원)"
"93","스테이크 하우스",5,"02-799-8273","seoul.grand.hyatt.com","점심 단품 69,000 ~ 147,000 (원)저녁 단품 69,000 ~ 170,000 (원)"
"94","아리랑",5,"02-752-1342","www.arirangcook.com","점심 단품 9,000 ~ 78,000 (원)저녁 단품 15,000 ~ 78,000 (원)"
"95","안씨 막걸리",5,"010-9965-5112","ahnmakgeolli.modoo.at/","저녁 단품 28,000 ~ 59,000 (원)"
"96","알라 프리마",4,"02-511-2555","allaprima.modoo.at","점심 세트 60,000 (원)저녁 세트 110,000 (원)"
"97","양양 메밀 막국수",4,"02-3482-3738","yangyangkuksu.modoo.at/","점심 단품 8,000 ~ 25,000 (원)"
"98","에머이",4,"02-733-0588","emoilove.modoo.at","점심 단품 9,000 ~ 18,000 (원)"
"99","역전회관",4,"02-703-0019","www.yukjeon.com","점심 단품 9,000 ~ 45,000 (원)저녁 단품 30,000 ~ 45,000 (원)"
"100","오가네 족발",4,"02-575-6608","oganejokbal.modoo.at","점심 단품 7,000 ~ 38,000 (원)"
"101","오근내 닭갈비",4,"02-797-0131","ogeunnae.modoo.at","점심 단품 7,000 ~ 35,000 (원)저녁 단품 22,000 ~ 35,000 (원)"
"102","오만지아",5,"02-749-2900","","점심 단품 50,000 ~ 185,000 (원)저녁 단품 50,000 ~ 185,000 (원)"
"103","오장동 함흥냉면",4,"02-2267-9500","ojangmyeonok.modoo.at","점심 단품 10,000 ~ 20,000 (원)"
"104","오통영",4,"02-544-2377","ohtongyoung.modoo.at","점심 단품 10,000 ~ 42,000 (원)저녁 단품 13,000 ~ 59,000 (원)"
"105","오프레",5,"070-5025-3837","","점심 단품 86,000 ~ 135,000 (원)저녁 단품 86,000 ~ 135,000 (원)점심 세트 45,000 (원)저녁 세트 100,000 ~ 180,000 (원)"
"106","옥동식",4,"010-9140-9911","","점심 단품 8,000 ~ 14,000 (원)저녁 단품 8,000 ~ 14,000 (원)"
"107","온달",5,"02-450-4518","www.walkerhill.com","점심 단품 38,000 ~ 114,000 (원)저녁 단품 38,000 ~ 114,000 (원)점심 세트 32,000 ~ 180,000 (원)저녁 세트 32,000 ~ 180,000 (원)"
"108","옳음",5,"02-549-2016","www.olheum.co.kr","점심 세트 50,000 (원)저녁 세트 130,000 (원)"
"109","외고집 설렁탕",5,"02-567-5225","oegojip.modoo.at","점심 단품 10,000 ~ 50,000 (원)"
"110","용금옥",4,"02-777-4749","yongkeumok.modoo.at","점심 단품 12,000 ~ 40,000 (원)저녁 단품 12,000 ~ 40,000 (원)"
"111","용수산",5,"02-743-5999","www.yongsusan.co.kr","점심 세트 18,000 ~ 160,000 (원)저녁 세트 48,000 ~ 160,000 (원)"
"112","우가",5,"02-6272-2223","thewooga.modoo.at","점심 단품 48,000 ~ 120,000 (원)저녁 단품 48,000 ~ 120,000 (원)"
"113","우래옥",5,"02-2265-0151","","점심 단품 13,000 ~ 70,000 (원)"
"114","우오",5,"02-518-4224","www.theuo.co.kr","점심 세트 69,000 ~ 100,000 (원)저녁 세트 130,000 ~ 200,000 (원)"
"115","우육미엔",4,"02-798-5556","","점심 단품 6,500 ~ 15,000 (원)"
"116","우참판",5,"02-537-5940","www.woochampan.com","점심 단품 38,000 ~ 70,000 (원)저녁 단품 38,000 ~ 70,000 (원)점심 세트 25,000 ~ 28,000 (원)"
"117","유 유안",4,"02-6388-5500","www.fourseasons.com/seoul","점심 단품 60,000 ~ 270,000 (원)저녁 단품 60,000 ~ 270,000 (원)점심 세트 120,000 ~ 180,000 (원)저녁 세트 140,000 ~ 280,000 (원)"
"118","이나니와 요스케",4,"02-772-9994","","점심 단품 8,000 ~ 25,000 (원)저녁 단품 12,000 ~ 60,000 (원)저녁 세트 30,000 ~ 70,000 (원)"
"119","이도 맨션",5,"02-785-0909","","점심 단품 15,000 ~ 150,000 (원)저녁 단품 22,000 ~ 150,000 (원)점심 세트 16,000 ~ 33,000 (원)"
"120","이문 설농탕",4,"02-733-6526","imun.modoo.at","점심 단품 9,000 ~ 30,000 (원)"
"121","이십사절기",5,"02-518-4818","www.24seasons.co.kr","점심 세트 55,000 (원)저녁 세트 55,000 (원)"
"122","이치류",5,"02-3144-1312","www.ichiryu.kr/","저녁 단품 21,000 ~ 47,000 (원)"
"123","이태리재",5,"070-4233-6262","italyjae.modoo.at","점심 단품 24,000 ~ 75,000 (원)저녁 단품 24,000 ~ 75,000 (원)"
"124","익스퀴진",4,"02-542-6921","","점심 세트 45,000 (원)저녁 세트 95,000 (원)"
"125","일호식",5,"02-794-2648","","점심 단품 14,500 ~ 38,500 (원)"
"126","임병주 산동 칼국수",4,"02-3473-7972","sandongkalguksu.modoo.at","점심 단품 8,000 ~ 36,000 (원)"
"127","자하 손만두",4,"02-379-2648","www.sonmandoo.com","점심 단품 6,500 ~ 54,000 (원)점심 세트 45,000 (원)"
"128","정식당",2,"02-517-4654","www.jungsik.kr","점심 세트 60,000 ~ 150,000 (원)저녁 세트 100,000 ~ 180,000 (원)"
"129","정인면옥",4,"02-2683-2615","junginmyeonok.modoo.at","점심 단품 9,000 ~ 40,000 (원)"
"130","제로 컴플렉스",4,"02-532-0876","","점심 세트 60,000 (원)저녁 세트 110,000 (원)"
"131","주반",5,"02-3210-3737","juban.modoo.at/","저녁 단품 13,000 ~ 32,000 (원)"
"132","주옥",4,"02-518-9393","thejoook.modoo.at","점심 세트 38,000 (원)저녁 세트 88,000 (원)"
"133","줄라이",5,"02-534-9544","www.julyrestaurant.org","점심 세트 44,000 ~ 49,000 (원)저녁 세트 75,000 ~ 100,000 (원)"
"134","진미 평양냉면",4,"02-515-3469","jinmipy.modoo.at/","점심 단품 10,000 ~ 35,000 (원)"
"135","진미식당",5,"02-3211-4468","thejinmi.modoo.at","점심 단품 38,000 (원)저녁 단품 38,000 (원)"
"136","진진",4,"070-5035-8878","jinjinseoul.modoo.at","저녁 단품 8,300 ~ 75,000 (원)"
"137","찬양집",4,"02-743-1384","chanyangjip.modoo.at","점심 단품 5,500 ~ 6,000 (원)"
"138","채근담",5,"02-555-9173","www.chaegundaam.com","점심 세트 27,000 ~ 43,000 (원)저녁 세트 47,000 ~ 88,000 (원)"
"139","쵸이닷",5,"02-518-0318","","점심 세트 55,000 ~ 65,000 (원)저녁 세트 120,000 (원)"
"140","충무로 쭈꾸미 불고기",4,"02-2279-0803","jjubulgogi.modoo.at","점심 단품 28,000 ~ 35,000 (원)"
"141","카덴",5,"02-337-6360","","저녁 단품 16,000 ~ 75,000 (원)"
"142","코로비아",5,"02-795-9660","www.koroviar.com","점심 단품 37,000 ~ 150,000 (원)저녁 단품 37,000 ~ 150,000 (원)점심 세트 28,000 ~ 50,000 (원)저녁 세트 120,000 (원)"
"143","코지마",2,"02-2056-1291","kojima.modoo.at","점심 세트 150,000 ~ 180,000 (원)저녁 세트 280,000 ~ 350,000 (원)"
"144","콘티넨탈",5,"02-2230-3369","www.shillahotels.com","점심 세트 97,000 ~ 150,000 (원)저녁 세트 180,000 ~ 330,000 (원)"
"145","크리스탈 제이드",5,"02-3789-8088","www.crystaljade.com","점심 단품 30,000 ~ 100,000 (원)저녁 단품 30,000 ~ 100,000 (원)점심 세트 29,000 ~ 120,000 (원)저녁 세트 45,000 ~ 120,000 (원)"
"146","큰기와집",4,"02-722-9024","keunkiwajip.modoo.at","점심 단품 22,000 ~ 50,000 (원)저녁 단품 22,000 ~ 50,000 (원)"
"147","태번 38",5,"02-522-3738","","점심 단품 31,000 ~ 96,000 (원)저녁 단품 31,000 ~ 96,000 (원)점심 세트 38,000 (원)저녁 세트 85,000 ~ 120,000 (원)"
"148","텅 앤 그루브 조인트",5,"02-790-7036","tngj.modoo.at","점심 단품 7,000 ~ 49,000 (원)저녁 단품 15,000 ~ 49,000 (원)"
"149","테이블 34",5,"02-559-7631","www.grandicparnas.com","점심 단품 100,000 ~ 160,000 (원)저녁 단품 100,000 ~ 160,000 (원)점심 세트 60,000 ~ 97,000 (원)저녁 세트 120,000 ~ 300,000 (원)"
"150","테이블 포 포",4,"02-3478-0717","tablefor4.modoo.at","점심 세트 45,000 (원)저녁 세트 90,000 (원)"
"151","톡톡",5,"02-542-3030","www.toctocseoul.com","저녁 단품 67,000 ~ 168,000 (원)점심 세트 42,000 (원)저녁 세트 100,000 ~ 120,000 (원)"
"152","툭툭 누들 타이",4,"070-4407-5130","tuktuknoodle.modoo.at","점심 단품 9,000 ~ 32,000 (원)저녁 단품 9,000 ~ 32,000 (원)"
"153","트라토리아 몰토",5,"02-303-1022","","점심 단품 41,000 ~ 92,000 (원)저녁 단품 41,000 ~ 92,000 (원)점심 세트 43,000 (원)저녁 세트 43,000 (원)"
"154","파씨오네",5,"02-546-7719","www.ipassionne.com","점심 세트 41,800 (원)저녁 세트 71,500 (원)"
"155","팔레 드 고몽",5,"02-546-8877","palaisdegaumont.modoo.at","저녁 세트 135,000 (원)"
"156","평양면옥",5,"02-2267-7784","pyungyangmyunok.modoo.at","점심 단품 11,000 ~ 80,000 (원)저녁 단품 11,000 ~ 80,000 (원)"
"157","품",4,"02-777-9007","www.poomseoul.com","점심 세트 80,850 ~ 115,500 (원)저녁 세트 115,500 ~ 231,000 (원)"
"158","플라워 차일드",5,"02-553-2574","www.flowerchildkorea.com","점심 세트 35,000 ~ 45,000 (원)저녁 세트 80,000 ~ 100,000 (원)"
"159","피양콩 할마니",4,"02-508-0476","piyang.modoo.at","점심 단품 7,000 ~ 40,000 (원)저녁 단품 7,000 ~ 40,000 (원)"
"160","필경재",5,"02-445-2115","www.philkyungjae.co.kr","점심 세트 54,000 ~ 240,000 (원)저녁 세트 102,000 ~ 240,000 (원)"
"161","필동면옥",4,"02-2266-2611","","점심 단품 10,000 ~ 27,000 (원)저녁 단품 10,000 ~ 27,000 (원)"
"162","하동관",4,"02-776-5656","www.hadongkwan.com","점심 단품 12,000 ~ 50,000 (원)"
"163","하모",5,"02-515-4266","hamokitchen.modoo.at","점심 단품 8,000 ~ 45,000 (원)저녁 단품 8,000 ~ 45,000 (원)점심 세트 27,000 ~ 65,000 (원)저녁 세트 27,000 ~ 65,000 (원)"
"164","하코네",5,"02-559-7623","www.grandicparnas.com","점심 단품 100,000 ~ 300,000 (원)저녁 단품 100,000 ~ 300,000 (원)점심 세트 85,000 ~ 125,000 (원)저녁 세트 125,000 ~ 280,000 (원)"
"165","한일관",4,"02-732-3735","www.hanilkwan.co.kr","점심 단품 10,000 ~ 45,000 (원)저녁 단품 10,000 ~ 45,000 (원)점심 세트 29,000 ~ 60,000 (원)저녁 세트 39,000 ~ 60,000 (원)"
"166","할매집",4,"02-735-2608","halmaejip.modoo.at","점심 단품 25,000 ~ 30,000 (원)저녁 단품 25,000 ~ 30,000 (원)"
"167","할머니의 레시피",5,"02-467-5101","grandmarecipe.modoo.at/","점심 단품 8,000 ~ 39,000 (원)저녁 단품 10,000 ~ 39,000 (원)"
"168","홍보각",5,"02-2270-3141","grand.ambatel.com/seoul","점심 단품 17,000 ~ 200,000 (원)저녁 단품 17,000 ~ 200,000 (원)점심 세트 78,000 ~ 130,000 (원)저녁 세트 98,000 ~ 130,000 (원)"
"169","홍연",5,"02-317-0494","www.echosunhotel.com","점심 단품 80,000 ~ 350,000 (원)저녁 단품 90,000 ~ 350,000 (원)점심 세트 90,000 ~ 225,000 (원)저녁 세트 90,000 ~ 385,000 (원)"
"170","화해당",5,"02-785-4422","hwahaedang.modoo.at","점심 단품 36,000 ~ 50,000 (원)"
"171","황금콩밭",4,"02-313-2952","hgkb.modoo.at/","점심 단품 7,000 ~ 65,000 (원)"
"172","황생가 칼국수",4,"02-739-6334","hwangsanga.modoo.at","점심 단품 9,000 ~ 53,000 (원)"
